,tittle,hash,chapter,kitsu_id
56,[PuyaSubs!] One Piece - 944 [ESP-ENG][720p][C0024100].mkv,7b45eee85a6cf109ecd0ec92c3de27b3e2e51e9e,944,12
57,[PuyaSubs!] One Piece - 944 [ESP-ENG][1080p][ED65648C].mkv,b4687084aae4fce7534fa2e0bab3b8ede8aedacf,944,12
58,[PuyaSubs!] Boruto - Naruto Next Generations - 168 [ESP-ENG][720p][6527BFC7].mkv,3a87c54413691c92b00d4f3255e14d2b5c59bb33,168,13051
59,[PuyaSubs!] Boruto - Naruto Next Generations - 168 [ESP-ENG][1080p][E2DF23C2].mkv,f5aaa6f8978f28f5ae51aedecba31d875f68e495,168,13051
60,[PuyaSubs!] Healin Good Precure - 27 [ESP-ENG][720p][D58C05D7].mkv,ef0a96b32b54af07e7ac4c90b113defa7a2f2613,27,null
61,[PuyaSubs!] Healin Good Precure - 27 [ESP-ENG][1080p][6F7D2172].mkv,0db21dd86f9e3799993aa84d5ea792640695d241,27,null
62,[PuyaSubs!] Digimon Adventure (2020) - 18 [ESP-ENG][1080p][B8BC84FE].mkv,505a9b81c612451c1e81935b5b33f7b8ad7d1915,18,null
63,[PuyaSubs!] Youkoso Japari Park S2 - 36 [ESP-ENG][720p][A46356A1].mkv,ba5abd63f9bbfc7e81023471c43e91f2e1fc03ae,36,null
64,[PuyaSubs!] Youkoso Japari Park S2 - 36 [ESP-ENG][1080p][8FE10D06].mkv,58e48b0bb68a9ab795003d5af0afbccbc30d9e48,36,null
65,[PuyaSubs!] Iwa Kakeru! - Sport Climbing Girls - 01 [ESP-ENG][720p][F29913B7].mkv,211286da26f1bcda1af2175760cd7391608748fc,1,43535
66,[PuyaSubs!] Iwa Kakeru! - Sport Climbing Girls - 01 [ESP-ENG][1080p][CE585585].mkv,03d55c3b655eb2646f44a6b122c02f446c9538dc,1,43535
67,[PuyaSubs!] Major 2nd S2 - 20 [ESP-ENG][V2][720p][61F6443B].mkv,cf59ce4b0c296dd6f9f3a678d2897cdd3a2c6976,20,null
68,[PuyaSubs!] Dragon Quest - Dai no Daibouken (2020) - 01 [ESP-ENG][720p][4AC3EAE3].mkv,5b5716596fa2c84de733d75c78111d3f5aabe339,1,42900
69,[PuyaSubs!] Dragon Quest - Dai no Daibouken (2020) - 01 [ESP-ENG][1080p][C7A022BE].mkv,53b2060c42feced17c12840d5c5aecbd5c65d112,1,42900
70,[PuyaSubs!] Hanyou no Yashahime - Sengoku Otogizoushi - 01 [ESP-ENG][720p][E7BBCFC7].mkv,21822b9fb569f08d63cfda3b2895c4afd1ad88d8,1,43180
71,[PuyaSubs!] Hanyou no Yashahime - Sengoku Otogizoushi - 01 [ESP-ENG][1080p][E14D9FBB].mkv,cbcf9248b60bc521a8352f19b19d96f0f0f1b2f6,1,43180
72,[PuyaSubs!] Major 2nd S2 - 20 [ESP-ENG][1080p][2C02569A].mkv,8577283ca5640eb6cab32bbf6f1102a73356f965,20,null
73,[PuyaSubs!] Haikyuu S5 - 14 [ESP-ENG][720p][A8C21C7A].mkv,47ce898658703dda473de2af51c83b22406a320f,14,null
74,[PuyaSubs!] Haikyuu S5 - 14 [ESP-ENG][1080p][1ED03194].mkv,d909d7f1201e5010335ba48e1f38be3dc4835daa,14,null
75,[PuyaSubs!] Noblesse - 03 [ESP-ENG][720p][4FAF182F].mkv,45410274fe444684b63357446cb4c6b0d5bb348f,3,null
76,[PuyaSubs!] Noblesse - 03 [ESP-ENG][1080p][4D94D43D].mkv,c7212e845cde25acb5cf9b86545a33e1a2ebfe6e,3,null
77,[PuyaSubs!] Tsukiuta - The Animation 2 - 02 [ESP-ENG][720p][828BE05F].mkv,04739f64e9f0c469b38ae7d09647151ef8eecc00,2,null
78,[PuyaSubs!] Tsukiuta - The Animation 2 - 02 [ESP-ENG][1080p][A14B2C5C].mkv,f447a59110bf9fe86d24168934b9b868d280ea6e,2,null
